🤞	crossed fingers	crossed fingers crossed_fingers luck hopeful people & body	9.0
🫰	hand with index finger and thumb crossed	hand with index finger and thumb crossed hand_with_index_finger_and_thumb_crossed people & body	14.0
🤟	love-you gesture	love you gesture love_you_gesture people & body	11.0
🤘	sign of the horns	sign of the horns metal people & body	8.0
🤙	call me hand	call me hand call_me_hand people & body	9.0
👈	backhand index pointing left	backhand index pointing left point point_left people & body	6.0
👉	backhand index pointing right	backhand index pointing right point point_right people & body	6.0
👆	backhand index pointing up	backhand index pointing up point 2 point_up_2 people & body	6.0
🖕	middle finger	middle finger middle_finger fu people & body	7.0
👇	backhand index pointing down	backhand index pointing down point point_down people & body	6.0
☝️	index pointing up	index pointing up point point_up people & body	0
🫵	index pointing at the viewer	index pointing at the viewer index_pointing_at_the_viewer people & body	14.0
👍	thumbs up	thumbs up +1 thumbsup approve ok people & body	6.0
👎	thumbs down	thumbs down 1 -1 thumbsdown disapprove bury people & body	6.0
✊	raised fist	raised fist fist_raised power people & body	6.0
👊	oncoming fist	oncoming fist fist_oncoming facepunch punch attack people & body	6.0
🤛	left-facing fist	left facing fist fist_left people & body	9.0
🤜	right-facing fist	right facing fist fist_right people & body	9.0
👏	clapping hands	clapping hands clap praise applause people & body	6.0
🙌	raising hands	raising hands raised raised_hands hooray people & body	6.0
🫶	heart hands	heart hands heart_hands love people & body	14.0
👐	open hands	open hands open_hands people & body	6.0
🤲	palms up together	palms up together palms_up_together people & body	11.0
🤝	handshake	handshake deal people & body	9.0
🙏	folded hands	folded hands pray please hope wish people & body	6.0
✍️	writing hand	writing hand writing_hand people & body	0
💅	nail polish	nail polish care nail_care beauty manicure people & body	6.0
🤳	selfie	selfie people & body	9.0
💪	flexed biceps	flexed biceps muscle flex bicep strong workout people & body	6.0
🦾	mechanical arm	mechanical arm mechanical_arm people & body	12.0
🦿	mechanical leg	mechanical leg mechanical_leg people & body	12.0
🦵	leg	leg people & body	11.0
🦶	foot	foot people & body	11.0
👂	ear	ear hear sound listen people & body	6.0
🦻	ear with hearing aid	ear with hearing aid ear_with_hearing_aid people & body	12.0
👃	nose	nose smell people & body	6.0
🧠	brain	brain people & body	11.0
🫀	anatomical heart	anatomical heart anatomical_heart people & body	13.0
🫁	lungs	lungs people & body	13.0
🦷	tooth	tooth people & body	11.0
🦴	bone	bone people & body	11.0
👀	eyes	eyes look see watch people & body	6.0
👁️	eye	eye people & body	7.0
👅	tongue	tongue taste people & body	6.0
👄	mouth	mouth lips kiss people & body	6.0
🫦	biting lip	biting lip biting_lip people & body	14.0
👶	baby	baby child newborn people & body	6.0
🧒	child	child people & body	11.0
